epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
113,9195.16,0.84441,0.71315,0.8734,0.80405,0.85389,0.89216,0.68076,0.91051,0.67337,0.87698,0.002608,0.002608,0.002608
114,9276.03,0.84699,0.71274,0.87576,0.80581,0.85349,0.8956,0.68142,0.91019,0.67338,0.87696,0.002542,0.002542,0.002542
115,9356.96,0.83997,0.70418,0.87399,0.80602,0.85313,0.89575,0.68213,0.91,0.67276,0.87684,0.002476,0.002476,0.002476
116,9437.86,0.83503,0.70026,0.87147,0.80604,0.85292,0.89664,0.68313,0.90899,0.67342,0.87668,0.00241,0.00241,0.00241
117,9518.77,0.8409,0.69865,0.8731,0.80675,0.8522,0.89668,0.68501,0.90889,0.67273,0.87662,0.002344,0.002344,0.002344
118,9599.72,0.83602,0.70521,0.87278,0.80709,0.85227,0.89664,0.68423,0.9089,0.67283,0.87665,0.002278,0.002278,0.002278
119,9680.67,0.83452,0.6882,0.87254,0.80822,0.85192,0.89558,0.684,0.90878,0.67272,0.87664,0.002212,0.002212,0.002212
120,9761.59,0.83462,0.68112,0.87093,0.80937,0.8552,0.89578,0.68367,0.90828,0.67283,0.87641,0.002146,0.002146,0.002146
121,9842.54,0.83124,0.69043,0.87088,0.81022,0.85443,0.89594,0.68393,0.90804,0.67288,0.87641,0.00208,0.00208,0.00208
122,9923.45,0.82242,0.6756,0.86916,0.81166,0.85367,0.89577,0.68479,0.9076,0.67292,0.87634,0.002014,0.002014,0.002014
123,10004.3,0.82273,0.67845,0.8673,0.81252,0.85309,0.895,0.68427,0.90724,0.67314,0.87623,0.001948,0.001948,0.001948
124,10085.2,0.82557,0.67829,0.87042,0.81208,0.85345,0.89494,0.68415,0.90627,0.67281,0.87609,0.001882,0.001882,0.001882
125,10166.1,0.81475,0.67276,0.86667,0.81383,0.85228,0.89533,0.68439,0.90614,0.67268,0.87598,0.001816,0.001816,0.001816
126,10246.9,0.81806,0.66366,0.86863,0.81393,0.85183,0.89541,0.68536,0.90575,0.67242,0.87591,0.00175,0.00175,0.00175
127,10327.8,0.81774,0.66231,0.86757,0.81412,0.852,0.89535,0.6854,0.9055,0.67238,0.87576,0.001684,0.001684,0.001684
128,10408.8,0.81433,0.65611,0.86623,0.81517,0.85121,0.89554,0.68627,0.9054,0.67253,0.87578,0.001618,0.001618,0.001618
129,10489.7,0.81631,0.66631,0.86878,0.8168,0.85175,0.89578,0.68652,0.90493,0.67315,0.87579,0.001552,0.001552,0.001552
130,10570.7,0.80723,0.64981,0.86523,0.81765,0.85104,0.8961,0.68708,0.90517,0.67272,0.87573,0.001486,0.001486,0.001486
131,10651.6,0.80927,0.6534,0.86744,0.82015,0.84953,0.89611,0.6864,0.90517,0.67338,0.87565,0.00142,0.00142,0.00142
132,10732.6,0.79835,0.65234,0.86474,0.82084,0.84942,0.89739,0.68795,0.90464,0.67303,0.8756,0.001354,0.001354,0.001354
133,10813.6,0.80452,0.65098,0.86465,0.82172,0.84863,0.89707,0.6877,0.90417,0.67351,0.87557,0.001288,0.001288,0.001288
134,10894.5,0.802,0.64905,0.86372,0.82195,0.84851,0.8972,0.68881,0.90411,0.67398,0.8755,0.001222,0.001222,0.001222
135,10975.4,0.795,0.63156,0.86373,0.82112,0.84858,0.89683,0.68795,0.90378,0.67352,0.87554,0.001156,0.001156,0.001156
136,11085,0.74819,0.51302,0.85758,0.82159,0.84877,0.89728,0.68962,0.90357,0.67356,0.87547,0.00109,0.00109,0.00109
137,11165.1,0.73815,0.49852,0.85291,0.82243,0.8482,0.89724,0.68979,0.90348,0.67341,0.87557,0.001024,0.001024,0.001024
138,11245.2,0.73157,0.48483,0.85434,0.82244,0.84793,0.89715,0.6897,0.90352,0.67413,0.87552,0.000958,0.000958,0.000958
139,11325.2,0.72953,0.48259,0.85176,0.82287,0.84809,0.897,0.69015,0.90319,0.67416,0.87555,0.000892,0.000892,0.000892
140,11405,0.72748,0.47829,0.85358,0.82224,0.84933,0.897,0.69014,0.90307,0.67491,0.87559,0.000826,0.000826,0.000826
141,11484.8,0.72116,0.47395,0.85288,0.82365,0.84826,0.89659,0.68953,0.90317,0.67478,0.87553,0.00076,0.00076,0.00076
142,11564.5,0.7153,0.46822,0.84913,0.82431,0.84796,0.89651,0.68972,0.90277,0.67525,0.87549,0.000694,0.000694,0.000694
143,11644.3,0.71048,0.46549,0.84935,0.82461,0.84792,0.8964,0.68976,0.90276,0.67538,0.87547,0.000628,0.000628,0.000628
144,11724,0.70639,0.4556,0.84762,0.8253,0.84743,0.89659,0.69063,0.90281,0.67516,0.8755,0.000562,0.000562,0.000562
145,11803.9,0.7042,0.44972,0.84696,0.82583,0.84752,0.89662,0.69032,0.90257,0.67573,0.87533,0.000496,0.000496,0.000496
146,11883.7,0.69963,0.44815,0.84564,0.82658,0.84695,0.89658,0.68938,0.90247,0.67555,0.8753,0.00043,0.00043,0.00043
147,11963.5,0.69525,0.44884,0.84553,0.82705,0.84687,0.89672,0.68985,0.90196,0.67581,0.87526,0.000364,0.000364,0.000364
148,12043.2,0.69283,0.44773,0.84543,0.82719,0.84663,0.8955,0.68898,0.9018,0.67591,0.87524,0.000298,0.000298,0.000298
149,12123.1,0.69395,0.44271,0.84678,0.82728,0.84639,0.89556,0.68857,0.90163,0.6758,0.87514,0.000232,0.000232,0.000232
150,12202.9,0.68965,0.43476,0.84193,0.8287,0.84536,0.89559,0.68908,0.90155,0.67571,0.87511,0.000166,0.000166,0.000166
